theta,omega,alpha,theta_next,omega_next,trajectory_id,split
0.29704633429151955,-2.348279302494846,-3.096767173443028,0.2734126834755736,-2.3780509994251875,0,train
0.2734126834755736,-2.3780509994251875,-2.856830908512439,0.24949338929310785,-2.405400436634375,0,train
0.24949338929310785,-2.405400436634375,-2.612370578393964,0.22531289503047164,-2.430284036104567,0,train
0.22531289503047164,-2.430284036104567,-2.363722098716104,0.20089606261801862,-2.452661680543813,0,train
0.20089606261801862,-2.452661680543813,-2.111241483332662,0.17626813703964136,-2.4724969077757564,0,train
0.17626813703964136,-2.4724969077757564,-1.8553034932417645,0.1514547088692082,-2.48975709065007,0,train
0.1514547088692082,-2.48975709065007,-1.596300093807266,0.12648167508807764,-2.504413600618455,0,train
0.12648167508807764,-2.504413600618455,-1.3346387331075422,0.1013751983557302,-2.5164419532630395,0,train
0.1013751983557302,-2.5164419532630395,-1.0707404569597538,0.07616166492186811,-2.5258219342323827,0,train
0.07616166492186811,-2.5258219342323827,-0.8050378787073615,0.050867641382838065,-2.532537704232883,0,train
0.050867641382838065,-2.532537704232883,-0.5379730241580111,0.02551983049769912,-2.5365778819375784,0,train
0.02551983049769912,-2.5365778819375784,-0.2699950740650566,0.00014502628949002172,-2.537935603906887,0,train
0.00014502628949002172,-2.537935603906887,-0.001558028212295549,-0.025229931334922195,-2.5366085608632143,0,train
-0.025229931334922195,-2.5366085608632143,0.26688168355169706,-0.05057820220773303,-2.532599009919536,0,train
-0.05057820220773303,-2.532599009919536,0.5348676171067599,-0.07587299152447305,-2.525913762626917,0,train
-0.07587299152447305,-2.525913762626917,0.8019457300139579,-0.10108759522828935,-2.5165641489729587,0,train
-0.10108759522828935,-2.5165641489729587,1.0676667709574261,-0.12619544491551116,-2.504565957728069,0,train
-0.12619544491551116,-2.504565957728069,1.3315886164443338,-0.1511701520290423,-2.489939353794725,0,train
-0.1511701520290423,-2.489939353794725,1.5932785294034253,-0.1759855511139235,-2.4727087734624407,0,train
-0.1759855511139235,-2.4727087734624407,1.8523153156046233,-0.20061574191961207,-2.452902798703878,0,train
-0.20061574191961207,-2.452902798703878,2.1082913554840546,-0.22503513014596951,-2.4305540118619846,0,train
-0.22503513014596951,-2.4305540118619846,2.3608144909612645,-0.24921846664443037,-2.40569883227087,0,train
-0.24921846664443037,-2.40569883227087,2.6095097491314365,-0.27314088490211635,-2.3783773365218166,0,train
-0.27314088490211635,-2.3783773365218166,2.8540208872526116,-0.2967779366545089,-2.3486330642281215,0,train
-0.2967779366545089,-2.3486330642281215,3.094011746169225,-0.3201056254914254,-2.3165128112568936,0,train
-0.3201056254914254,-2.3165128112568936,3.329167402159534,-0.34310043834117826,-2.282066412481522,0,train
-0.34310043834117826,-2.282066412481522,3.559195110105679,-0.36573937473863893,-2.2453465161649273,0,train
-0.36573937473863893,-2.2453465161649273,3.7838250338020027,-0.3879999738041918,-2.2064083521111484,0,train
-0.3879999738041918,-2.2064083521111484,4.002810762083794,-0.4098603388819572,-2.1653094957220667,0,train
-0.4098603388819572,-2.1653094957220667,4.215929612221941,-0.4312991598069144,-2.12210963006839,0,train
-0.4312991598069144,-2.12210963006839,4.422982724642291,-0.4522957327914021,-2.076870308031152,0,train
-0.4522957327914021,-2.076870308031152,4.623794955450738,-0.4728299779416759,-2.02965471649397,0,train
-0.4728299779416759,-2.02965471649397,4.818214575442105,-0.4928824544345354,-1.9805274444695757,0,train
-0.4928824544345354,-1.9805274444695757,5.006112786216354,-0.5124343734023101,-1.9295542569293074,0,train
-0.5124343734023101,-1.9295542569293074,5.18738306570021,-0.5314676085915406,-1.876801875974035,0,train
-0.5314676085915406,-1.876801875974035,5.36194035676483,-0.5499647048763704,-1.8223377708423534,0,train
-0.5499647048763704,-1.8223377708423534,5.5297201137359515,-0.5679088847218703,-1.7662299580995406,0,train
-0.5679088847218703,-1.7662299580995406,5.690677222414932,-0.5852840527051586,-1.708546813191658,0,train
-0.5852840527051586,-1.708546813191658,5.844784809775467,-0.602074798213211,-1.6493568943858756,0,train
-0.602074798213211,-1.6493568943858756,5.992032959785814,-0.618266396445641,-1.588728779953215,0,train
-0.618266396445641,-1.588728779953215,6.132427351848276,-0.6338448078584714,-1.5267309192857013,0,train
-0.6338448078584714,-1.5267309192857013,6.265987838168648,-0.6487966761910259,-1.4634314984785233,0,train
-0.6487966761910259,-1.4634314984785233,6.39274697599306,-0.6631093252225878,-1.398898320751021,0,train
-0.6631093252225878,-1.398898320751021,6.512748530104534,-0.6767707544084551,-1.3331987019297298,0,train
-0.6767707544084551,-1.3331987019297298,6.626045960284284,-0.689769633546526,-1.2663993810735927,0,train
-0.689769633546526,-1.2663993810735927,6.732700907640798,-0.7020952966256742,-1.1985664461868117,0,train
-0.7020952966256742,-1.1985664461868117,6.832781692820088,-0.7137377350059905,-1.1297652748393903,0,train
-0.7137377350059905,-1.1297652748393903,6.926361838159195,-0.7246875900785817,-1.060060489399729,0,train
-0.7246875900785817,-1.060060489399729,7.013518624856413,-0.734936145549125,-0.9895159264779174,0,train
-0.734936145549125,-0.9895159264779174,7.094331695227547,-0.7444753194848739,-0.9181946200826856,0,train
-0.7444753194848739,-0.9181946200826856,7.168881709118196,-0.7532976562594073,-0.8461587979091914,0,train
-0.7532976562594073,-0.8461587979091914,7.237249062564304,-0.7613963185231932,-0.7734698900986459,0,train
-0.7613963185231932,-0.7734698900986459,7.299512675851782,-0.7687650793211089,-0.7001885497437824,0,train
-0.7687650793211089,-0.7001885497437824,7.355748857232425,-0.7753983144704983,-0.6263746843558369,0,train
-0.7753983144704983,-0.6263746843558369,7.4060302477168545,-0.7812909953052483,-0.5520874974584234,0,train
-0.7812909953052483,-0.5520874974584234,7.45042485159185,-0.7864386818827972,-0.47738553943080453,0,train
-0.7864386818827972,-0.47738553943080453,7.4889951566030355,-0.7908375167420306,-0.4023267666868904,0,train
-0.7908375167420306,-0.4023267666868904,7.521797347106042,-0.794484219290723,-0.3269686082461815,0,train
-0.794484219290723,-0.3269686082461815,7.548880612918777,-0.7973760808916223,-0.25136803872811964,0,train
-0.7973760808916223,-0.25136803872811964,7.570286556101838,-0.7995109607064832,-0.17558165678131676,0,train
-0.7995109607064832,-0.17558165678131676,7.586048697448793,-0.8008872823473883,-0.09966576794331453,0,train
-0.8008872823473883,-0.09966576794331453,7.596192084076516,-0.8015040313745869,-0.023676470914378925,0,train
-0.8015040313745869,-0.023676470914378925,7.600732999161339,-0.8013607536698741,0.05233025378005998,0,train
-0.8013607536698741,0.05233025378005998,7.599678774560224,-0.8004575547042401,0.1282984537697014,0,train
-0.8004575547042401,0.1282984537697014,7.593027706778656,-0.7987950997081932,0.20417211449709008,0,train
-0.7987950997081932,0.20417211449709008,7.580769076488179,-0.7963746147428037,0.27989506958822463,0,train
-0.7963746147428037,0.27989506958822463,7.562883271546575,-0.7931978886591681,0.35541091296980126,0,train
-0.7931978886591681,0.35541091296980126,7.539342013221354,-0.789267275923676,0.4306629137625386,0,train
-0.789267275923676,0.4306629137625386,7.510108685052831,-0.7845857002761994,0.5055939349729788,0,train
-0.7845857002761994,0.5055939349729788,7.475138763505646,-0.779156659178149,0.5801463569960812,0,train
-0.779156659178149,0.5801463569960812,7.4343803492378795,-0.7729842289972807,0.6542620069274522,0,train
-0.7729842289972807,0.6542620069274522,7.387774797455682,-0.7660730708662351,0.7278820946667209,0,train
